Iteration 169, loss = 7933977.31909907
Iteration 170, loss = 7930806.47820903
Iteration 171, loss = 7929140.31530082
Iteration 172, loss = 7926217.17934180
Iteration 173, loss = 7922744.32147525
Iteration 174, loss = 7919412.33215593
Iteration 175, loss = 7916764.93273337
Iteration 176, loss = 7914585.71521146
Iteration 177, loss = 7911244.69157219
Iteration 178, loss = 7909814.54381032
Iteration 179, loss = 7906309.13129975
Iteration 180, loss = 7903171.38864816
Iteration 181, loss = 7900178.33171910
Iteration 182, loss = 7897304.77266953
Iteration 183, loss = 7894157.20025035
Iteration 184, loss = 7890903.30493306
Iteration 185, loss = 7887729.71862877
Iteration 186, loss = 7885239.54820682
Iteration 187, loss = 7881476.29139018
Iteration 188, loss = 7878912.88112566
Iteration 189, loss = 7877374.33955991
Iteration 190, loss = 7874223.04939524
Iteration 191, loss = 7872249.10063629
Iteration 192, loss = 7869689.67059964
Iteration 193, loss = 7867730.52795229
Iteration 194, loss = 7866544.28359823
Iteration 195, loss = 7863943.80964612
Iteration 196, loss = 7860707.19100346
Iteration 197, loss = 7858786.64516952
Iteration 198, loss = 7857223.01120563
Iteration 199, loss = 7855863.14822988
Iteration 200, loss = 7853337.37821099
Iteration 201, loss = 7850931.11755029
Iteration 202, loss = 7849213.92472827
Iteration 203, loss = 7846948.06777763
Iteration 204, loss = 7843703.11712903
Iteration 205, loss = 7841179.68212294
Iteration 206, loss = 7838292.60196717
Iteration 207, loss = 7835192.90634732
Iteration 208, loss = 7832712.53485906
Iteration 209, loss = 7830148.36653267
Iteration 210, loss = 7829313.98322402
Iteration 211, loss = 7827476.08290638
Iteration 212, loss = 7824660.08003940
Iteration 213, loss = 7822553.30343827
Iteration 214, loss = 7820272.25499723
Iteration 215, loss = 7817299.14776439
Iteration 216, loss = 7813760.02579225
Iteration 217, loss = 7810557.36336619
Iteration 218, loss = 7807602.99911668
Iteration 219, loss = 7804733.67098552
Iteration 220, loss = 7801786.55862333
Iteration 221, loss = 7798386.07633257
Iteration 222, loss = 7795198.72242948
