0,1,2,3
679.0,54.0,704.0,54.0
704.0,54.0,818.0,55.0
818.0,55.0,353.0,55.0
353.0,55.0,320.0,55.0
320.0,55.0,877.0,55.0
877.0,55.0,1037.0,57.0
1037.0,57.0,1184.0,57.0
1184.0,57.0,1887.0,61.0
1887.0,61.0,1054.0,61.0
1054.0,61.0,504.0,61.0
504.0,61.0,571.0,61.0
571.0,61.0,1494.0,66.0
1494.0,66.0,1960.0,71.0
1960.0,71.0,2111.0,71.0
2111.0,71.0,1995.0,82.0
1995.0,82.0,1567.0,88.0
1567.0,88.0,860.0,92.0
860.0,92.0,774.0,98.0
774.0,98.0,2240.0,98.0
2240.0,98.0,1776.0,115.0
1776.0,115.0,2722.0,134.0
2722.0,134.0,3009.0,159.0
3009.0,159.0,3107.0,159.0
3107.0,159.0,1352.0,165.0
1352.0,165.0,1132.0,176.0
1132.0,176.0,3121.0,184.0
3121.0,184.0,3010.0,200.0
3010.0,200.0,3602.0,212.0
3602.0,212.0,3065.0,219.0
3065.0,219.0,3257.0,219.0
3257.0,219.0,2259.0,219.0
2259.0,219.0,3058.0,235.0
3058.0,235.0,3314.0,261.0
3314.0,261.0,2044.0,286.0
2044.0,286.0,2494.0,317.0
2494.0,317.0,2906.0,351.0
2906.0,351.0,2267.0,351.0
2267.0,351.0,720.0,366.0
720.0,366.0,2205.0,390.0
2205.0,390.0,2198.0,414.0
2198.0,414.0,2692.0,464.0
2692.0,464.0,2197.0,491.0
2197.0,491.0,1929.0,510.0
1929.0,510.0,1299.0,510.0
1299.0,510.0,542.0,526.0
542.0,526.0,1612.0,557.0
1612.0,557.0,1535.0,579.0
1535.0,579.0,2107.0,579.0
2107.0,579.0,2588.0,614.0
2588.0,614.0,2472.0,644.0
2472.0,644.0,1306.0,671.0
1306.0,671.0,288.0,693.0
288.0,693.0,1905.0,709.0
1905.0,709.0,2705.0,732.0
2705.0,732.0,2686.0,749.0
2686.0,749.0,2716.0,771.0
2716.0,771.0,2314.0,798.0
2314.0,798.0,1533.0,816.0
1533.0,816.0,376.0,839.0
376.0,839.0,2971.0,868.0
2971.0,868.0,3640.0,898.0
3640.0,898.0,3645.0,930.0
3645.0,930.0,3458.0,957.0
3458.0,957.0,3330.0,981.0
3330.0,981.0,1636.0,996.0
1636.0,996.0,681.0,1018.0
681.0,1018.0,4113.0,1046.0
4113.0,1046.0,5524.0,1084.0
5524.0,1084.0,5431.0,1104.0
5431.0,1104.0,5274.0,1122.0
5274.0,1122.0,6267.0,1148.0
6267.0,1148.0,3190.0,1175.0
3190.0,1175.0,604.0,1205.0
604.0,1205.0,5206.0,1251.0
5206.0,1251.0,7703.0,1309.0
7703.0,1309.0,6596.0,1378.0
6596.0,1378.0,7835.0,1440.0
7835.0,1440.0,6522.0,1510.0
6522.0,1510.0,3082.0,1555.0
3082.0,1555.0,1715.0,1618.0
1715.0,1618.0,9753.0,1618.0
9753.0,1618.0,9215.0,1686.0
9215.0,1686.0,7354.0,1732.0
7354.0,1732.0,5064.0,1732.0
5064.0,1732.0,1182.0,1732.0
1182.0,1732.0,1086.0,1773.0
1086.0,1773.0,873.0,1879.0
873.0,1879.0,8648.0,1983.0
8648.0,1983.0,9743.0,2065.0
9743.0,2065.0,11915.0,2138.0
11915.0,2138.0,10476.0,2250.0
10476.0,2250.0,2326.0,2250.0
2326.0,2250.0,1745.0,2317.0
1745.0,2317.0,908.0,2521.0
908.0,2521.0,10347.0,2603.0
10347.0,2603.0,11080.0,2657.0
11080.0,2657.0,3165.0,2717.0
3165.0,2717.0,8291.0,2788.0
8291.0,2788.0,8003.0,2836.0
8003.0,2836.0,4860.0,2918.0
4860.0,2918.0,1785.0,3007.0
